,mode,file,topic,assigned_label,diversity,coherence,total_samples,label_counts,Politics,Renewable,Nature,Activism,Fossil,Waste,Lifestyle,Weather,Disaster,Agriculture,Transportation,Electricity,Construction,Climate,Technology
98,multi_label,topic_0000.json,0,Politics,7,0.485,20,"{'Politics': 16, 'Activism': 7, 'Disaster': 4, 'Lifestyle': 2, 'Nature': 2, 'Weather': 1, 'Renewable': 1}",16,1,2,7,0,0,2,1,4,0,0,0,0,0,0
99,multi_label,topic_0001.json,1,Politics,11,0.421,20,"{'Renewable': 4, 'Politics': 16, 'Fossil': 5, 'Disaster': 2, 'Activism': 4, 'Weather': 1, 'Nature': 1, 'Electricity': 1, 'Lifestyle': 2, 'Climate': 1, 'Transportation': 1}",16,4,1,4,5,0,2,1,2,0,1,1,0,1,0
100,multi_label,topic_0002.json,2,Fossil,6,0.4,20,"{'Politics': 15, 'Fossil': 16, 'Lifestyle': 3, 'Nature': 4, 'Renewable': 1, 'Construction': 1}",15,1,4,0,16,0,3,0,0,0,0,0,1,0,0
101,multi_label,topic_0003.json,3,Renewable,10,0.216,20,"{'Lifestyle': 2, 'Waste': 7, 'Renewable': 8, 'Nature': 1, 'Activism': 7, 'Electricity': 4, 'Politics': 4, 'Fossil': 2, 'Construction': 1, 'Technology': 1}",4,8,1,7,2,7,2,0,0,0,0,4,1,0,1
102,multi_label,topic_0004.json,4,Politics,9,0.526,20,"{'Politics': 20, 'Disaster': 2, 'Renewable': 1, 'Weather': 5, 'Fossil': 5, 'Nature': 1, 'Activism': 2, 'Agriculture': 1, 'Climate': 1}",20,1,1,2,5,0,0,5,2,1,0,0,0,1,0
103,multi_label,topic_0005.json,5,Transportation,9,0.429,20,"{'Politics': 4, 'Renewable': 8, 'Transportation': 18, 'Construction': 1, 'Electricity': 1, 'Lifestyle': 6, 'Disaster': 1, 'Waste': 1, 'Fossil': 2}",4,8,0,0,2,1,6,0,1,0,18,1,1,0,0
104,multi_label,topic_0006.json,6,Fossil,8,0.351,20,"{'Renewable': 7, 'Electricity': 3, 'Fossil': 13, 'Politics': 8, 'Nature': 1, 'Activism': 2, 'Transportation': 2, 'Waste': 1}",8,7,1,2,13,1,0,0,0,0,2,3,0,0,0
105,multi_label,topic_0007.json,7,Nature,10,0.222,20,"{'Nature': 8, 'Politics': 7, 'Transportation': 2, 'Activism': 8, 'Weather': 1, 'Lifestyle': 4, 'Technology': 1, 'Renewable': 2, 'Waste': 2, 'Agriculture': 1}",7,2,8,8,0,2,4,1,0,1,2,0,0,0,1
106,multi_label,topic_0008.json,8,Renewable,8,0.5,20,"{'Renewable': 20, 'Electricity': 10, 'Agriculture': 2, 'Technology': 1, 'Weather': 3, 'Politics': 1, 'Lifestyle': 2, 'Construction': 1}",1,20,0,0,0,0,2,3,0,2,0,10,1,0,1
107,multi_label,topic_0009.json,9,Waste,9,0.543,20,"{'Renewable': 2, 'Waste': 19, 'Electricity': 1, 'Politics': 3, 'Lifestyle': 4, 'Fossil': 2, 'Activism': 2, 'Nature': 1, 'Disaster': 1}",3,2,1,2,2,19,4,0,1,0,0,1,0,0,0
108,multi_label,topic_0010.json,10,Renewable,11,0.289,20,"{'Activism': 2, 'Fossil': 6, 'Renewable': 11, 'Politics': 6, 'Lifestyle': 2, 'Agriculture': 3, 'Nature': 3, 'Climate': 1, 'Disaster': 2, 'Waste': 1, 'Technology': 1}",6,11,3,2,6,1,2,0,2,3,0,0,0,1,1
109,multi_label,topic_0011.json,11,Politics,10,0.263,20,"{'Politics': 10, 'Fossil': 5, 'Weather': 1, 'Transportation': 6, 'Activism': 5, 'Nature': 1, 'Waste': 4, 'Disaster': 3, 'Lifestyle': 1, 'Renewable': 2}",10,2,1,5,5,4,1,1,3,0,6,0,0,0,0
110,multi_label,topic_0012.json,12,Agriculture,9,0.472,20,"{'Weather': 2, 'Agriculture': 17, 'Renewable': 1, 'Nature': 3, 'Waste': 2, 'Lifestyle': 3, 'Politics': 4, 'Transportation': 1, 'Activism': 3}",4,1,3,3,0,2,3,2,0,17,1,0,0,0,0
111,multi_label,topic_0013.json,13,Politics,9,0.421,20,"{'Politics': 16, 'Fossil': 7, 'Renewable': 6, 'Climate': 1, 'Waste': 2, 'Nature': 2, 'Electricity': 2, 'Agriculture': 1, 'Transportation': 1}",16,6,2,0,7,2,0,0,0,1,1,2,0,1,0
112,multi_label,topic_0014.json,14,Nature,8,0.366,20,"{'Nature': 15, 'Waste': 2, 'Activism': 8, 'Politics': 5, 'Agriculture': 4, 'Disaster': 4, 'Construction': 2, 'Transportation': 1}",5,0,15,8,0,2,0,0,4,4,1,0,2,0,0
113,multi_label,topic_0015.json,15,Renewable,9,0.297,20,"{'Renewable': 11, 'Electricity': 8, 'Weather': 3, 'Construction': 6, 'Politics': 3, 'Technology': 2, 'Nature': 2, 'Lifestyle': 1, 'Waste': 1}",3,11,2,0,0,1,1,3,0,0,0,8,6,0,2
114,multi_label,topic_0016.json,16,Politics,8,0.278,20,"{'Nature': 5, 'Politics': 10, 'Disaster': 4, 'Waste': 8, 'Electricity': 2, 'Agriculture': 4, 'Renewable': 2, 'Technology': 1}",10,2,5,0,0,8,0,0,4,4,0,2,0,0,1
115,multi_label,topic_0017.json,17,Weather,8,0.441,20,"{'Nature': 5, 'Weather': 15, 'Renewable': 3, 'Politics': 2, 'Disaster': 4, 'Fossil': 3, 'Activism': 1, 'Agriculture': 1}",2,3,5,1,3,0,0,15,4,1,0,0,0,0,0
116,multi_label,topic_0018.json,18,Renewable,7,0.462,20,"{'Politics': 11, 'Renewable': 18, 'Construction': 1, 'Nature': 4, 'Fossil': 2, 'Activism': 1, 'Electricity': 2}",11,18,4,1,2,0,0,0,0,0,0,2,1,0,0
117,multi_label,topic_0019.json,19,Activism,10,0.27,20,"{'Renewable': 2, 'Disaster': 1, 'Nature': 6, 'Activism': 10, 'Politics': 4, 'Lifestyle': 7, 'Waste': 2, 'Transportation': 1, 'Weather': 3, 'Agriculture': 1}",4,2,6,10,0,2,7,3,1,1,1,0,0,0,0
118,multi_label,topic_0020.json,20,Fossil,9,0.444,20,"{'Fossil': 16, 'Transportation': 5, 'Agriculture': 2, 'Politics': 6, 'Weather': 2, 'Disaster': 1, 'Electricity': 1, 'Renewable': 2, 'Technology': 1}",6,2,0,0,16,0,0,2,1,2,5,1,0,0,1
119,multi_label,topic_0021.json,21,Politics,7,0.382,20,"{'Transportation': 1, 'Lifestyle': 7, 'Waste': 6, 'Politics': 13, 'Weather': 5, 'Disaster': 1, 'Activism': 1}",13,0,0,1,0,6,7,5,1,0,1,0,0,0,0
120,multi_label,topic_0022.json,22,Disaster,12,0.318,20,"{'Nature': 3, 'Disaster': 14, 'Activism': 6, 'Construction': 3, 'Weather': 3, 'Waste': 3, 'Lifestyle': 4, 'Renewable': 3, 'Fossil': 1, 'Climate': 1, 'Politics': 1, 'Agriculture': 2}",1,3,3,6,1,3,4,3,14,2,0,0,3,1,0
121,multi_label,topic_0023.json,23,Nature,8,0.471,20,"{'Disaster': 4, 'Politics': 2, 'Nature': 16, 'Climate': 3, 'Renewable': 1, 'Activism': 3, 'Agriculture': 3, 'Weather': 2}",2,1,16,3,0,0,0,2,4,3,0,0,0,3,0
122,multi_label,topic_0024.json,24,Construction,9,0.385,20,"{'Activism': 1, 'Construction': 15, 'Politics': 7, 'Renewable': 5, 'Waste': 1, 'Disaster': 2, 'Lifestyle': 5, 'Nature': 2, 'Transportation': 1}",7,5,2,1,0,1,5,0,2,0,1,0,15,0,0
123,multi_label,topic_0025.json,25,Renewable,8,0.395,20,"{'Renewable': 15, 'Agriculture': 2, 'Fossil': 4, 'Nature': 2, 'Transportation': 6, 'Electricity': 5, 'Politics': 3, 'Technology': 1}",3,15,2,0,4,0,0,0,0,2,6,5,0,0,1
124,multi_label,topic_0026.json,26,Politics,6,0.389,20,"{'Activism': 6, 'Politics': 14, 'Waste': 3, 'Nature': 6, 'Agriculture': 1, 'Lifestyle': 6}",14,0,6,6,0,3,6,0,0,1,0,0,0,0,0
125,multi_label,topic_0027.json,27,Renewable,6,0.268,20,"{'Renewable': 11, 'Electricity': 4, 'Politics': 11, 'Waste': 5, 'Fossil': 9, 'Construction': 1}",11,11,0,0,9,5,0,0,0,0,0,4,1,0,0
126,multi_label,topic_0028.json,28,Politics,8,0.471,20,"{'Renewable': 8, 'Politics': 16, 'Lifestyle': 2, 'Waste': 3, 'Fossil': 2, 'Transportation': 1, 'Activism': 1, 'Technology': 1}",16,8,0,1,2,3,2,0,0,0,1,0,0,0,1
127,multi_label,topic_0029.json,29,Waste,8,0.394,20,"{'Waste': 13, 'Lifestyle': 11, 'Weather': 2, 'Nature': 2, 'Climate': 1, 'Renewable': 2, 'Transportation': 1, 'Fossil': 1}",0,2,2,0,1,13,11,2,0,0,1,0,0,1,0
128,multi_label,topic_0030.json,30,Politics,9,0.364,20,"{'Politics': 12, 'Waste': 4, 'Transportation': 1, 'Lifestyle': 1, 'Nature': 4, 'Disaster': 2, 'Activism': 7, 'Weather': 1, 'Construction': 1}",12,0,4,7,0,4,1,1,2,0,1,0,1,0,0
129,multi_label,topic_0031.json,31,Politics,8,0.406,20,"{'Politics': 13, 'Electricity': 1, 'Disaster': 3, 'Lifestyle': 3, 'Waste': 8, 'Activism': 1, 'Nature': 2, 'Transportation': 1}",13,0,2,1,0,8,3,0,3,0,1,1,0,0,0
130,multi_label,topic_0032.json,32,Nature,9,0.296,20,"{'Waste': 3, 'Disaster': 1, 'Politics': 7, 'Nature': 8, 'Lifestyle': 4, 'Agriculture': 1, 'Weather': 1, 'Renewable': 1, 'Fossil': 1}",7,1,8,0,1,3,4,1,1,1,0,0,0,0,0
131,multi_label,topic_0033.json,33,Politics,7,0.459,20,"{'Politics': 17, 'Fossil': 10, 'Transportation': 1, 'Renewable': 3, 'Activism': 4, 'Waste': 1, 'Nature': 1}",17,3,1,4,10,1,0,0,0,0,1,0,0,0,0
132,multi_label,topic_0034.json,34,Politics,7,0.366,20,"{'Politics': 15, 'Construction': 1, 'Activism': 5, 'Fossil': 14, 'Renewable': 3, 'Electricity': 2, 'Disaster': 1}",15,3,0,5,14,0,0,0,1,0,0,2,1,0,0
133,multi_label,topic_0035.json,35,Waste,8,0.333,20,"{'Politics': 8, 'Waste': 11, 'Activism': 2, 'Nature': 5, 'Agriculture': 1, 'Fossil': 3, 'Disaster': 2, 'Construction': 1}",8,0,5,2,3,11,0,0,2,1,0,0,1,0,0
134,multi_label,topic_0036.json,36,Renewable,5,0.409,20,"{'Renewable': 18, 'Electricity': 8, 'Politics': 14, 'Fossil': 3, 'Agriculture': 1}",14,18,0,0,3,0,0,0,0,1,0,8,0,0,0
135,multi_label,topic_0037.json,37,Politics,5,0.448,20,"{'Nature': 4, 'Politics': 13, 'Activism': 8, 'Climate': 2, 'Lifestyle': 2}",13,0,4,8,0,0,2,0,0,0,0,0,0,2,0
136,multi_label,topic_0038.json,38,Politics,10,0.273,20,"{'Weather': 8, 'Construction': 2, 'Lifestyle': 4, 'Politics': 9, 'Climate': 3, 'Transportation': 1, 'Nature': 2, 'Renewable': 1, 'Fossil': 1, 'Activism': 2}",9,1,2,2,1,0,4,8,0,0,1,0,2,3,0
137,multi_label,topic_0039.json,39,Waste,9,0.176,20,"{'Lifestyle': 5, 'Waste': 6, 'Politics': 4, 'Renewable': 6, 'Activism': 2, 'Nature': 5, 'Electricity': 2, 'Technology': 3, 'Fossil': 1}",4,6,5,2,1,6,5,0,0,0,0,2,0,0,3
138,multi_label,topic_0040.json,40,Politics,5,0.447,20,"{'Activism': 2, 'Fossil': 2, 'Politics': 17, 'Disaster': 13, 'Weather': 4}",17,0,0,2,2,0,0,4,13,0,0,0,0,0,0
139,multi_label,topic_0041.json,41,Activism,6,0.486,20,"{'Activism': 18, 'Politics': 12, 'Fossil': 3, 'Disaster': 1, 'Waste': 1, 'Lifestyle': 2}",12,0,0,18,3,1,2,0,1,0,0,0,0,0,0
140,multi_label,topic_0042.json,42,Nature,4,0.87,20,"{'Nature': 20, 'Renewable': 1, 'Weather': 1, 'Climate': 1}",0,1,20,0,0,0,0,1,0,0,0,0,0,1,0
141,multi_label,topic_0043.json,43,Politics,6,0.436,20,"{'Activism': 13, 'Politics': 17, 'Disaster': 3, 'Nature': 3, 'Lifestyle': 1, 'Climate': 2}",17,0,3,13,0,0,1,0,3,0,0,0,0,2,0
142,multi_label,topic_0044.json,44,Politics,4,0.667,20,"{'Politics': 20, 'Activism': 7, 'Climate': 2, 'Nature': 1}",20,0,1,7,0,0,0,0,0,0,0,0,0,2,0
143,multi_label,topic_0045.json,45,Renewable,7,0.571,20,"{'Renewable': 20, 'Electricity': 8, 'Politics': 1, 'Fossil': 2, 'Construction': 2, 'Disaster': 1, 'Nature': 1}",1,20,1,0,2,0,0,0,1,0,0,8,2,0,0
144,multi_label,topic_0046.json,46,Renewable,9,0.389,20,"{'Politics': 4, 'Renewable': 14, 'Electricity': 2, 'Construction': 1, 'Activism': 8, 'Transportation': 1, 'Nature': 2, 'Waste': 2, 'Lifestyle': 2}",4,14,2,8,0,2,2,0,0,0,1,2,1,0,0
145,multi_label,topic_0047.json,47,Nature,7,0.481,20,"{'Renewable': 1, 'Transportation': 1, 'Nature': 13, 'Waste': 3, 'Construction': 1, 'Weather': 2, 'Lifestyle': 6}",0,1,13,0,0,3,6,2,0,0,1,0,1,0,0
146,multi_label,topic_0048.json,48,Politics,7,0.613,20,"{'Disaster': 2, 'Politics': 19, 'Fossil': 1, 'Climate': 2, 'Activism': 5, 'Waste': 1, 'Nature': 1}",19,0,1,5,1,1,0,0,2,0,0,0,0,2,0
147,multi_label,topic_1000.json,1000,Renewable,8,0.405,20,"{'Renewable': 17, 'Politics': 9, 'Weather': 1, 'Electricity': 5, 'Fossil': 6, 'Waste': 1, 'Transportation': 2, 'Construction': 1}",9,17,0,0,6,1,0,1,0,0,2,5,1,0,0
148,multi_label,topic_1001.json,1001,Politics,8,0.41,20,"{'Activism': 9, 'Politics': 16, 'Nature': 2, 'Disaster': 3, 'Fossil': 4, 'Renewable': 3, 'Lifestyle': 1, 'Weather': 1}",16,3,2,9,4,0,1,1,3,0,0,0,0,0,0
149,multi_label,topic_1002.json,1002,Weather,9,0.467,20,"{'Weather': 14, 'Disaster': 6, 'Fossil': 1, 'Politics': 2, 'Renewable': 3, 'Electricity': 1, 'Agriculture': 1, 'Technology': 1, 'Nature': 1}",2,3,1,0,1,0,0,14,6,1,0,1,0,0,1
150,multi_label,topic_1003.json,1003,Activism,8,0.395,20,"{'Renewable': 4, 'Activism': 15, 'Fossil': 1, 'Lifestyle': 3, 'Politics': 11, 'Nature': 2, 'Transportation': 1, 'Agriculture': 1}",11,4,2,15,1,0,3,0,0,1,1,0,0,0,0
151,multi_label,topic_1004.json,1004,Politics,7,0.486,20,"{'Politics': 17, 'Waste': 8, 'Activism': 3, 'Disaster': 2, 'Fossil': 3, 'Lifestyle': 1, 'Nature': 1}",17,0,1,3,3,8,1,0,2,0,0,0,0,0,0
152,multi_label,topic_1005.json,1005,Politics,9,0.432,20,"{'Politics': 16, 'Renewable': 8, 'Waste': 1, 'Activism': 3, 'Agriculture': 3, 'Nature': 2, 'Fossil': 2, 'Lifestyle': 1, 'Transportation': 1}",16,8,2,3,2,1,1,0,0,3,1,0,0,0,0
153,multi_label,topic_1006.json,1006,Politics,6,0.459,20,"{'Activism': 2, 'Fossil': 8, 'Politics': 17, 'Renewable': 8, 'Transportation': 1, 'Weather': 1}",17,8,0,2,8,0,0,1,0,0,1,0,0,0,0
