seq,text,label_type,gpt_response
7845056826,"UN, Germany say tackling climate crisis is path to economic and national security Top diplomats urge governments gathered at conferences in Berlin to seize the opportunities offered by a green transition to shore up growth and peace www.climatechangenews.com20250326u...",multi,"Politics, Renewable"
7834751068,"One of my favorite youtubers that I have watched for over 10 years, willingly using ChatGPT and AI, and even going as far to say almonds are worse for the environment than AI, should upset me more than it does. But with the year we've had so far, it's just another day atp",multi,Lifestyle
8164487717,"There is no 'controversey' over efficiency standards. They save consumers billions of dollars, reduce greenhouse emissions, and are widely supported by industry. The only 'controversey' is that trmpGOP are hell-bent on increasing greenhouse emissions. No one else is.",multi,"Politics, Renewable"
8051802123,"Update on the bucket system. So far so good, just need to hook them all up together and get timers. Real good for people who travel or for people like me who like to plant a lot and don’t wanna forget to water it",multi,"- Agriculture, Lifestyle"
8094293684,"tumblr.comreblogfanfi... HazbinHotel Alastor HazbinHotelAlastor HazbinAlastor HazbinPrompts HazbinHotelPrompts AlastorPrompts Prompt Poll HazbinHotelPoll AlastorPoll Those with a Tumblr, go and vote.",multi,- Lifestyle
8183124433,"ICT issues Grassland Fire Danger RFD at Apr 18, 339 PM CDT at Fri, 18 Apr 2025 204031 0000 via IEMbot Additional Details Here.",multi,Weather
7981962021,"You need firm power regardless of how much ren you deploy. This is understood by China which still expands coal and nuclear, Germany that announced 20gw of new gas plants and other countries. With nuclear you don't need so much firming and you use less fossils",multi,"Fossil, Renewable"
7742869172,Donald Trump says we will expand clean coal. abcnews.go.comUStrump-cle...,multi,"Politics, Fossil"
8167867748,"It's really striking how before 1980 not a single year reached 1,500 hours with a heat index of 90f and that since 2015 every single year surpasses that level. A completely new climate.",multi,"Weather, Climate"
7751633852,Someone told me that Florida was one of the most at risk places from climate change. I then asked them what about places worth caring about?,multi,"Politics, Weather"
8137653317,"An inspirational video all educators - teachers, parents, etc. should watch agency in action, inspiring hope. Students discovered they could DO something that alleviated increasing climate change anxiety schools from both communities working together. You are a gifted teacher, Alistair. Congrats",multi,"Activism, Education"
8138963415,"What on earth are you talking about. Water still does sustain life. The oceans, rivers, and lakes still have life in them. Pollution is definitely making things worse, but it's not like water is dead now, nor was it always safe before humans.",multi,"- Disaster, Waste"
8067813361,Any of these chicks could have sent money to environmental science organizations instead of undoing years of research regarding our atmosphere with rocket fuel.,multi,"Activism, Politics"
7920891758,"I have a similar goal on my tie-in Bucket List, but it's a rarity for such a thing to happen over here. Still, what's life without a couple of unobtainable goals?",multi,- Lifestyle
8011455904,"The Coalition prepares to soften Australia’s climate target, while reaffirming commitment to Paris Agreement esdnews.com.authe-coalitio... via Energy Source Distribution",multi,"Politics, Renewable"
8172585321,"Doesn’t he already have the entire fuck the environment vote? Literally every analyst, including especially conservative ones says he needs to grow the base and compromise to attract more progressive voters. This just drives people away. He is impossibly bad at this. Campaign malpractice.",multi,Politics
8066837730,"Was discussing this with a pal. We both have other friends who have gone down rabbit holes. Mine is a complete climate change denier and the other one is an extreme anti- vaxxer. Both are intelligent and comfortably off, living in a stable environment. We can’t understand it.",multi,Politics
8207236325,"I also try to make it clear every time I talk about JSDOM that I talk specifically about JSOM-based test environments like jest-environment-jsdom. I did it in this thread, too. I have nothing against JSDOM, really. I am strongly against test envs based on it.",multi,N/A
8060467078,"Nowadays, people face the issue of global warming and climate change. They write many essays to force governments in the whole world to develop measures that can solve the problem. WritingCommunity Source wr1ter.commanualessay...",multi,"Activism, Politics"
7889836399,Renovations feel rather useless when political leaders are aiming for planet extinction,multi,"Activism, Politics"
7715478421,"Btw the Discover page feels like my home page if it had a gas leak, so I won’t be checking that part of the site. That’s where the doom scrolling demons live!",multi,"- Lifestyle, Waste"
7689490671,COP get-togethers achieve nothing anyway - except for a visit somewhere on a taxpayer ticket. Agreements and reports have done nothing to stop emissions. Global warming accelerates. Stop trying to hoodwink the people. We know it's too late. We feel the heat. We feel the flood. We suffer the thirst.,multi,"Activism, Politics, Disaster"
8166527593,"I should double-check with someone like profbobhowarth.bsky.social but in terms of radiative forcing it might be that collecting landfill CH4 and oxidizing it into CO2 and H2O rather than allowing the biomethane to go straight into atmosphere may balance out ""good"", but goal should be to do better.",multi,"Waste, Renewable"
8192252596,39 Field research confirmed this is widespreadvegetables grown in open air contained 10-100 times more polyethylene terephthalate and polystyrene than greenhouse-grown plants. Outer and older leaves accumulated significantly higher microplastic concentrations. Microplastics Agriculture,multi,"Agriculture, Waste"
8201979183,World SSTs 19.04.2025 The battle continues in the central Pacific ...lots of near the coast of Central America Warmer out at sea temperatures are sort of stable around Enso neutral Not much happening elsewhere ClimateCrisis,multi,"Weather, ClimateCrisis"
