Run,Cluster ID,Post Count
run1,-1,24264
run1,0,182145
run1,1,20453
run1,2,1413
run2,-1,95358
run2,0,4912
run2,1,3662
run2,10,1722
run2,100,232
run2,101,227
run2,102,223
run2,103,221
run2,104,214
run2,105,214
run2,106,213
run2,107,211
run2,108,208
run2,109,205
run2,11,1696
run2,110,204
run2,111,202
run2,112,200
run2,12,1572
run2,13,1554
run2,14,1543
run2,15,1456
run2,16,1452
run2,17,1373
run2,18,1338
run2,19,1328
run2,2,3358
run2,20,1241
run2,21,1224
run2,22,1214
run2,23,1128
run2,24,1127
run2,25,1083
run2,26,1067
run2,27,1047
run2,28,1028
run2,29,934
run2,3,2659
run2,30,908
run2,31,826
run2,32,822
run2,33,797
run2,34,794
run2,35,791
run2,36,789
run2,37,759
run2,38,740
run2,39,732
run2,4,1996
run2,40,732
run2,41,727
run2,42,727
run2,43,718
run2,44,672
run2,45,671
run2,46,664
run2,47,645
run2,48,579
run2,49,577
run2,5,1996
run2,50,572
run2,51,514
run2,52,499
run2,53,492
run2,54,487
run2,55,486
run2,56,452
run2,57,443
run2,58,441
run2,59,428
run2,6,1922
run2,60,427
run2,61,420
run2,62,412
run2,63,391
run2,64,389
run2,65,386
run2,66,377
run2,67,369
run2,68,356
run2,69,355
run2,7,1904
run2,70,351
run2,71,348
run2,72,328
run2,73,323
run2,74,321
run2,75,319
run2,76,317
run2,77,311
run2,78,308
run2,79,306
run2,8,1797
run2,80,299
run2,81,299
run2,82,299
run2,83,290
run2,84,289
run2,85,286
run2,86,280
run2,87,277
run2,88,268
run2,89,266
run2,9,1729
run2,90,265
run2,91,262
run2,92,258
run2,93,254
run2,94,250
run2,95,246
run2,96,246
run2,97,242
run2,98,239
run2,99,238
run3,-1,69703
run3,0,7396
run3,1,7083
run3,10,2380
run3,11,2349
run3,12,2324
run3,13,1715
run3,14,1682
run3,15,1513
run3,16,1504
run3,17,1393
run3,18,1243
run3,19,1180
run3,2,4820
run3,20,1159
run3,21,1111
run3,22,1103
run3,23,1045
run3,24,971
run3,25,944
run3,26,759
run3,27,729
run3,28,652
run3,29,591
run3,3,3254
run3,30,577
run3,31,486
run3,32,455
run3,33,410
run3,34,290
run3,35,287
run3,36,280
run3,37,276
run3,38,273
run3,39,271
run3,4,3025
run3,40,249
run3,41,239
run3,42,237
run3,43,224
run3,44,222
run3,45,215
run3,46,208
run3,47,204
run3,48,200
run3,5,2789
run3,6,2665
run3,7,2525
run3,8,2514
run3,9,2437
run4,-1,49948
run4,0,2128
run4,1,1760
run4,10,489
run4,11,457
run4,12,454
run4,13,452
run4,14,448
run4,15,422
run4,16,410
run4,17,325
run4,18,314
run4,19,282
run4,2,1355
run4,20,281
run4,21,280
run4,22,276
run4,23,251
run4,24,222
run4,25,211
run4,26,208
run4,27,207
run4,28,192
run4,29,189
run4,3,1027
run4,30,179
run4,31,154
run4,32,147
run4,33,144
run4,34,144
run4,35,144
run4,36,138
run4,37,133
run4,38,133
run4,39,131
run4,4,887
run4,40,130
run4,41,124
run4,42,123
run4,43,116
run4,44,116
run4,45,115
run4,46,110
run4,47,108
run4,48,106
run4,5,882
run4,6,865
run4,7,725
run4,8,714
run4,9,547
